Major,Major_category,Median,Unemployment_rate,ROI_Score,salary_gap
PETROLEUM ENGINEERING,Engineering,110000,0.018380527,108014.63410150222,30000
MINING AND MINERAL ENGINEERING,Engineering,75000,0.117241379,67129.62964827675,35000
METALLURGICAL ENGINEERING,Engineering,73000,0.024096386,71282.35290930906,55000
NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,70000,0.050125313,66658.71123516095,37000
CHEMICAL ENGINEERING,Engineering,65000,0.061097712,61257.31802539218,25000
NUCLEAR ENGINEERING,Engineering,65000,0.177226407,55214.52765032988,52000
ACTUARIAL SCIENCE,Business,62000,0.095652174,56587.30158281053,19000
ASTRONOMY AND ASTROPHYSICS,Physical Sciences,62000,0.021167415,60714.82412117507,77500
MECHANICAL ENGINEERING,Engineering,60000,0.057342278,56746.05210480386,22000
ELECTRICAL ENGINEERING,Engineering,60000,0.059173845,56647.924496285115,27000
COMPUTER ENGINEERING,Engineering,60000,0.065409275,56316.38601982323,30000
AEROSPACE ENGINEERING,Engineering,60000,0.065162085,56329.45524905723,28000
BIOMEDICAL ENGINEERING,Engineering,60000,0.09208386,54940.83577061564,34000
MATERIALS SCIENCE,Engineering,60000,0.023042836,58648.57060589397,26000
ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,58000,0.006334343,57634.92064386398,49000
BIOLOGICAL ENGINEERING,Engineering,57100,0.087143069,52522.98582239317,36000
INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,57000,0.042875544,54656.569835144204,29100
GENERAL ENGINEERING,Engineering,56000,0.059824231,52838.950424034985,33000
ARCHITECTURAL ENGINEERING,Engineering,54000,0.061930783,50850.7718812404,27000
COURT REPORTING,Law & Public Policy,54000,0.011689692,53376.05041052449,4000
COMPUTER SCIENCE,Computers & Mathematics,53000,0.063172771,49850.78761013528,31000
ELECTRICAL ENGINEERING TECHNOLOGY,Engineering,52000,0.087557114,47813.58085070648,25000
MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering,52000,0.027788805,50594.051761441406,27000
MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business,51000,0.058239614,48193.24406806793,22000
CIVIL ENGINEERING,Engineering,50000,0.070609574,46702.36584303141,20000
CONSTRUCTION SERVICES,Industrial Arts & Consumer Services,50000,0.060023041,47168.78602264269,24000
OPERATIONS LOGISTICS AND E-COMMERCE,Business,50000,0.047858703,47716.35704017243,20000
MISCELLANEOUS ENGINEERING,Engineering,50000,0.074392523,46537.926251000164,26000
PUBLIC POLICY,Law & Public Policy,50000,0.128426299,44309.49548438342,35000
ENVIRONMENTAL ENGINEERING,Engineering,50000,0.093588575,45721.03361632138,14000
ENGINEERING TECHNOLOGIES,Engineering,50000,0.055030385,47391.99999438879,17000
MISCELLANEOUS FINE ARTS,Arts,50000,0.089375,45897.87722317843,41000
GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,50000,0.075038285,46509.971503014895,14200
NURSING,Health,48000,0.044862724,45939.04911857111,19000
